运单编号,签收省份,重量,价格
403320526885,重庆,0.6,5.6
403333136896,贵州省,0.2,5.6
403347255065,重庆,0.4,5.6
403315982995,广西壮族自治区,0.4,5.6
403334891161,云南省,0.55,5.6
403349247891,重庆,0.2,5.6
403320606536,广西壮族自治区,0.2,5.6
403369354051,重庆,0.35,5.6
403319251096,重庆,0.35,5.6
403325496882,山东省,0.2,5.2
403351636306,广西壮族自治区,0.35,5.6
403317416336,云南省,0.4,5.6
403353385509,贵州省,0.45,5.6
403326812303,湖北省,0.2,5.2
403375708966,湖南省,0.2,5.2
403363027856,江西省,0.6,5.2
403373878962,上海,0.25,3.7
403320300921,安徽省,0.55,3.7
403320300939,上海,0.2,3.7
403354974523,广东省,0.55,5.2
403317039522,安徽省,0.25,3.7
403322540573,浙江省,0.2,3.7
403324135256,陕西省,0.5,5.6
403324135288,安徽省,0.2,3.7
403324135276,江苏省,0.3,3.7
403320300907,浙江省,0.5,3.7
403322540586,浙江省,0.25,3.7
403350900567,贵州省,0.2,5.6
403320300914,浙江省,0.5,3.7
403350847829,上海,0.4,3.7
757193007582,江苏省,0.25,3.7
403335045478,上海,0.2,3.7
403346091447,浙江省,0.2,3.7
403249169059,浙江省,0.6,3.7
403355050736,江苏省,1.2,4.7
403360757381,重庆,0.55,5.6
403355524611,江苏省,0.35,3.7
403315187288,重庆,0.2,5.6
403331132123,重庆,0.2,5.6
403332123833,安徽省,0.25,3.7
757193007583,江苏省,0.2,3.7
403316700761,广西壮族自治区,0.2,5.6
403381464833,云南省,0.2,5.6
403341998250,上海,0.3,3.7
403373878994,浙江省,0.2,3.7
757194625371,广东省,0.45,5.2
403366187554,陕西省,0.9,5.6
403373879000,湖南省,0.2,5.2
403350900528,云南省,0.2,5.6
403320300845,江苏省,0.25,3.7
403361447078,云南省,0.2,5.6
403355524675,上海,1.45,4.7
403350847836,山东省,0.2,5.2
403326451780,贵州省,0.85,5.6
403355050743,四川省,0.25,5.6
757194625574,广东省,0.55,5.2
403331132187,重庆,0.2,5.6
403350900542,江苏省,0.2,3.7
403326127113,江苏省,0.45,3.7
403324135249,上海,0.3,3.7
403331132093,江苏省,0.4,3.7
403321323406,湖南省,0.7,5.2
757193007586,北京,0.25,5.2
403318532866,江西省,0.2,5.2
403324135224,贵州省,0.55,5.6
403317039561,贵州省,0.2,5.6
403354423688,广西壮族自治区,0.65,5.6
403320300877,浙江省,0.5,3.7
757193007581,湖北省,0.2,5.2
403357979152,重庆,0.2,5.6
403324135263,重庆,0.2,5.6
403326127152,陕西省,0.25,5.6
403317039515,安徽省,0.2,3.7
403346091422,陕西省,0.2,5.6
403332123796,上海,0.35,3.7
403390033650,江苏省,0.2,3.7
403381464858,四川省,0.95,5.6
403332123846,陕西省,0.6,5.6
403360757411,贵州省,0.35,5.6
403350900574,安徽省,0.2,3.7
403324135217,安徽省,0.2,3.7
403350291283,上海,0.2,3.7
403373879017,浙江省,0.5,3.7
403373878987,重庆,0.7,5.6
403364814424,湖南省,0.7,5.2
403326127145,上海,0.2,3.7
403321662186,安徽省,0.25,3.7
403360757475,上海,0.2,3.7
403360757404,浙江省,0.2,3.7
403364502546,浙江省,0.2,3.7
403337295519,浙江省,0.2,3.7
403355796672,四川省,0.65,5.6
403351476149,江苏省,0.25,3.7
403351476094,上海,0.75,3.7
403320068022,安徽省,0.2,3.7
403350847811,云南省,0.35,5.6
403355796727,浙江省,0.2,3.7
403326127160,云南省,0.2,5.6
403366187586,浙江省,0.3,3.7
403196830071,上海,0.65,3.7
403355796697,贵州省,0.4,5.6
403332123826,浙江省,0.4,3.7
403337295565,江苏省,0.2,3.7
403325093012,上海,0.25,3.7
403330529063,上海,0.35,3.7
403322709124,四川省,0.2,5.6
403350900550,浙江省,0.2,3.7
403381464846,安徽省,1.3,4.7
403360757436,江苏省,0.35,3.7
403373878970,浙江省,0.6,3.7
403330529118,江苏省,0.2,3.7
403330529024,浙江省,0.2,3.7
403354663201,云南省,0.45,5.6
403332123819,浙江省,0.5,3.7
403322540566,江苏省,0.2,3.7
403324135231,江苏省,0.25,3.7
403335045421,四川省,0.3,5.6
403317039530,上海,0.2,3.7
403351476131,贵州省,0.2,5.6
403331132148,云南省,1.3,7.4
403335045466,江苏省,0.2,3.7
403350900535,四川省,0.2,5.6
403332123872,山东省,0.2,5.2
403335045446,江苏省,0.2,3.7
403320068030,四川省,0.2,5.6
403341998228,江苏省,0.2,3.7
403355220343,广东省,0.45,5.2
403369779454,江苏省,2.55,5.7
403316780371,云南省,0.4,5.6
403317039547,浙江省,0.3,3.7
403346091415,河北省,0.2,5.2
403341998267,浙江省,0.2,3.7
403351715547,广西壮族自治区,0.55,5.6
757193007587,天津,0.2,5.2
403351476117,上海,0.2,3.7
403320300860,江苏省,0.8,3.7
403366187593,陕西省,0.3,5.6
403320300852,重庆,0.2,5.6
403364502592,浙江省,0.3,3.7
403326127096,浙江省,0.3,3.7
403322540541,上海,0.2,3.7
403332123880,上海,0.25,3.7
403336880602,云南省,0.9,5.6
403317039508,陕西省,0.25,5.6
403355796710,上海,0.2,3.7
403327247814,湖南省,0.45,5.2
403360757399,上海,0.45,3.7
403326127126,浙江省,0.2,3.7
403320300891,江苏省,0.25,3.7
403331132116,浙江省,0.45,3.7
403324135295,贵州省,0.2,5.6
403346091454,江苏省,0.2,3.7
403356140939,安徽省,0.2,3.7
403366187616,浙江省,0.2,3.7
403310326760,陕西省,0.45,5.6
403321436794,湖北省,0.5,5.2
403341998242,江苏省,0.55,3.7
403322540559,江苏省,0.5,3.7
403366187547,安徽省,0.35,3.7
403351476070,浙江省,0.55,3.7
403362310650,广东省,0.3,5.2
403335045453,江苏省,0.2,3.7
403330529049,浙江省,0.55,3.7
403330529106,江苏省,0.2,3.7
403337295526,江苏省,0.2,3.7
403355796702,湖南省,0.6,5.2
403342873671,云南省,0.4,5.6
403330529056,浙江省,0.35,3.7
403337295546,浙江省,0.2,3.7
403325093037,四川省,0.35,5.6
403351476156,江苏省,0.2,3.7
403320300884,浙江省,0.45,3.7
403330529076,四川省,0.2,5.6
403345899732,湖南省,0.65,5.2
403337295558,浙江省,0.2,3.7
403330529088,浙江省,0.2,3.7
403319011069,广西壮族自治区,0.85,5.6
403360757468,上海,0.2,3.7
403325093005,上海,0.2,3.7
403320068047,四川省,0.2,5.6
403336482468,湖南省,0.4,5.2
403325093044,上海,0.35,3.7
403365579644,湖南省,0.3,5.2
403326127106,浙江省,0.35,3.7
403390033616,四川省,0.55,5.6
403330529031,陕西省,0.5,5.6
403325093020,重庆,0.2,5.6
403347142596,广西壮族自治区,0.6,5.6
403350291276,上海,0.2,3.7
403351476062,上海,0.2,3.7
403331132162,浙江省,0.4,3.7
403321662130,浙江省,0.2,3.7
403344354335,湖南省,0.2,5.2
403373879031,安徽省,0.2,3.7
403343112802,广西壮族自治区,0.4,5.6
403381464819,浙江省,0.6,3.7
403319171899,广东省,0.35,5.2
403366187579,浙江省,0.6,3.7
403373879024,江苏省,0.4,3.7
757193007585,福建省,0.2,5.2
403360757429,浙江省,0.2,3.7
403363987519,广东省,0.2,5.2
403364502566,江苏省,0.2,3.7
403364502553,浙江省,0.2,3.7
403332123801,浙江省,0.6,3.7
403331132155,江苏省,0.2,3.7
403320068061,江苏省,0.25,3.7
403341998235,江苏省,0.2,3.7
403366187623,内蒙古自治区,0.5,8.2
403320068015,江苏省,0.2,3.7
403316302152,贵州省,0.75,5.6
403331132109,云南省,0.2,5.6
403366187609,上海,0.65,3.7
403381464826,浙江省,0.45,3.7
403317039579,湖南省,0.3,5.2
403351476124,江苏省,0.6,3.7
403335045439,浙江省,0.2,3.7
403326127083,江苏省,0.7,3.7
403317039586,四川省,0.35,5.6
403321662179,浙江省,0.2,3.7
403341998274,上海,0.25,3.7
403326452570,广西壮族自治区,0.3,5.6
403321662154,安徽省,0.2,3.7
403326127138,浙江省,0.25,3.7
403360757443,浙江省,0.55,3.7
403337295533,江苏省,0.25,3.7
403351715926,云南省,0.8,5.6
403366187561,江苏省,0.2,3.7
403320068054,江苏省,0.25,3.7
403319651455,重庆,0.75,5.6
403369779422,四川省,0.25,5.6
403298727031,贵州省,0.2,5.6
403325740133,山西省,0.4,5.6
403331132136,浙江省,1.05,4.7
403332123865,安徽省,0.2,3.7
403351476087,浙江省,0.25,3.7
403351476100,四川省,0.2,5.6
403335924093,重庆,0.9,5.6
403324135200,浙江省,0.2,3.7
403321662147,江苏省,0.2,3.7
403355050729,上海,0.25,3.7
403325092990,贵州省,0.35,5.6
403326127076,四川省,0.35,5.6
403381563668,江苏省,0.2,3.7
403364502585,江苏省,0.2,3.7
403352192174,云南省,0.85,5.6
403381563643,云南省,0.3,5.6
403381563682,浙江省,0.2,3.7
403377850990,湖北省,0.25,5.2
403381563636,浙江省,0.2,3.7
403370079037,江苏省,0.35,3.7
403330529095,湖南省,0.35,5.2
403381563656,安徽省,0.55,3.7
403357979160,广东省,0.4,5.2
403355796680,湖南省,0.6,5.2
403322540598,江苏省,0.2,3.7
403317039554,浙江省,0.2,3.7
757195930320,浙江省,5.75,8.7
403381563690,上海,0.2,3.7
403392117268,贵州省,0.5,5.6
403353547437,湖南省,0.8,5.2
403373658649,湖南省,0.85,5.2
403327724646,云南省,0.85,5.6
403314869443,云南省,0.8,5.6
403334492639,湖南省,0.75,5.2
403324144530,湖南省,0.5,5.2
403370078975,浙江省,0.3,3.7
403384592459,山西省,0.2,5.6
403353939118,重庆,0.65,5.6
403320844976,江西省,0.5,5.2
403376741810,湖南省,0.65,5.2
403343830444,江西省,0.7,5.2
403318134756,重庆,0.75,5.6
403324941308,重庆,0.8,5.6
403325537268,重庆,0.3,5.6
403356168815,山西省,0.7,5.6
403384275601,广西壮族自治区,0.65,5.6
403321005347,湖南省,0.55,5.2
403328006147,广西壮族自治区,0.85,5.6
403327265815,北京,0.2,5.2
403379977710,浙江省,0.4,3.7
403374641768,上海,0.55,3.7
403397546468,上海,0.2,3.7
403379977702,陕西省,0.4,5.6
403374641790,浙江省,0.8,3.7
403325935023,广西壮族自治区,0.5,5.6
403374641851,浙江省,0.2,3.7
403259401463,安徽省,0.2,3.7
403374646749,浙江省,0.45,3.7
403375536236,浙江省,0.2,3.7
